Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
493;FCFS;FirstCash, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US33767D1054;;1,00;0,01000;USD;18.05.2020 0:00:00
494;FCN;FTI Consulting, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3029411093;;1,00;0,01000;USD;28.02.2019 0:00:00
495;FCNCA;First Citizens BancShares, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US31946M1036;;1,00;0,01000;USD;29.07.2020 0:00:00
496;FCX;Freeport-McMoRan Inc.;Акции;Акции иностранного эмитента обыкновенные;;US35671D8570;;1,00;0,01000;USD;19.10.2016 0:00:00
497;FDS;FactSet Research Systems Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3030751057;;1,00;0,01000;USD;31.01.2019 0:00:00
498;FDX;FedEx Corporation;Акции;Акции иностранного эмитента обыкновенные;;US31428X1063;;1,00;0,01000;USD;19.10.2016 0:00:00
499;FELE;Franklin Electric Co., Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3535141028;;1,00;0,01000;USD;13.10.2020 0:00:00
500;FFIN;First Financial Bankshares, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US32020R1095;;1,00;0,01000;USD;04.12.2020 0:00:00
501;FFIV;F5 Networks, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3156161024;;1,00;0,01000;USD;01.06.2017 0:00:00
502;FGEN;FibroGen, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31572Q8087;;1,00;0,01000;USD;05.08.2019 0:00:00
503;FICO;Fair Isaac Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3032501047;;1,00;0,01000;USD;05.08.2019 0:00:00
504;FIS;Fidelity National Information Services, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31620M1062;;1,00;0,01000;USD;01.06.2017 0:00:00
505;FISV;Fiserv, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3377381088;;1,00;0,01000;USD;01.06.2017 0:00:00
506;FITB;Fifth Third Bancorp;Акции;Акции иностранного эмитента обыкновенные;;US3167731005;;1,00;0,01000;USD;14.06.2017 0:00:00
507;FIVE;Five Below, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US33829M1018;;1,00;0,01000;USD;04.04.2019 0:00:00
508;FIVN;Five9, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3383071012;;1,00;0,01000;USD;05.08.2019 0:00:00
509;FIZZ;National Beverage Corp.;Акции;Акции иностранного эмитента обыкновенные;;US6350171061;;1,00;0,01000;USD;11.06.2019 0:00:00
510;FL;Foot Locker, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3448491049;;1,00;0,01000;USD;09.08.2018 0:00:00
511;FLIR;FLIR Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3024451011;;1,00;0,01000;USD;14.06.2017 0:00:00
512;FLO;Flowers Foods, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3434981011;;1,00;0,01000;USD;04.12.2020 0:00:00
513;FLOW;SPX FLOW, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US78469X1072;;1,00;0,01000;USD;11.06.2019 0:00:00
514;FLR;Fluor Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3434121022;;1,00;0,01000;USD;19.10.2016 0:00:00
515;FLS;Flowserve Corporation;Акции;Акции иностранного эмитента обыкновенные;;US34354P1057;;1,00;0,01000;USD;19.10.2016 0:00:00
516;FLT;FleetCor Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3390411052;;1,00;0,01000;USD;31.01.2019 0:00:00
517;FLWS;1-800-FLOWERS.COM, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US68243Q1067;;1,00;0,01000;USD;31.10.2019 0:00:00
518;FMC;FMC Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3024913036;;1,00;0,01000;USD;01.06.2017 0:00:00
519;FME@DE;Fresenius Medical Care AG & Co. KGaA;Акции;Акции иностранного эмитента обыкновенные;;DE0005785802;;1,00;0,01000;EUR;01.03.2021 0:00:00
520;FND;Floor & Decor Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3397501012;;1,00;0,01000;USD;04.04.2019 0:00:00
521;FNF;Fidelity National Financial, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31620R3030;;1,00;0,01000;USD;04.12.2020 0:00:00
522;FNKO;Funko, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3610081057;;1,00;0,01000;USD;31.10.2019 0:00:00
523;FOCS;Focus Financial Partners Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US34417P1003;;1,00;0,01000;USD;31.10.2019 0:00:00
524;FOE;Ferro Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3154051003;;1,00;0,01000;USD;31.10.2019 0:00:00
525;FOLD;Amicus Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03152W1099;;1,00;0,01000;USD;04.12.2020 0:00:00
526;FORM;FormFactor, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3463751087;;1,00;0,01000;USD;31.10.2019 0:00:00
527;FORR;Forrester Research, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3465631097;;1,00;0,01000;USD;11.06.2019 0:00:00
528;FOX;Fox Corporation;Акции;Акции иностранного эмитента обыкновенные класса B;;US35137L2043;;1,00;0,01000;USD;25.03.2019 0:00:00
529;FOXA;Fox Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US35137L1052;;1,00;0,01000;USD;25.03.2019 0:00:00
